2F5,mind,n
2F8,kind,adj
2FA,opinion,n
2FC,peace,n
2FF,design,n
300,play,n
301,act,v/vn
302,self-respect,n
304,thought,n
306,regret,v/vn
30C,look for,v/vn
30F,shame,n
318,theory,n
31C,desire,v/vn
31E,wise,adj
322,advertisement,n
329,book,n
32F,order,n
336,talk about,v/vn
339,fact,n
33A,fiction,n
33D,history,n
33E,be a sign of,v
344,language,n
345,letter,n
347,list,n
34A,map,n
34D,motion picture,n
34E,name,n
351,noise,n
353,page,n
357,print,n
35D,record,n
360,secret,adj
367,sign,n
36A,voice,n
36D,word,n
370,match,n
374,ball,n
375,stick,n
383,different,adj
385,change,n
389,copy,n
399,amount / number,n
39A,number,n
39C,measure,v/vn
39D,rate,n
3A5,rest (of...),n
3A6,complete,adj
3A7,all,n
3A9,a small number of,adj
3B4,group,n
3BE,degree,n
3C1,much / very,n
3C4,little,n
3CB,size,n
3D2,distance,n
3D3,far,adj/adv
3D4,near,adj/adv
3D5,present,n
3DC,wide,n
3DD,narrow,n
3DF,thick / fat,n
3E0,thin,n
3E3,low / short,n
3EB,angle,n
3EC,position,n
3F1,front,n
3F2,back part of,n
3F7,edge,n
3FD,direction,n
3FE,up,adv
3FF,down,adv
400,north,n
401,south,n
402,east,n
403,west,n
404,right(-hand),adj
405,left(-hand),adj
407,back,n
416,base / station,n
41A,come,v
41E,go into,v
420,fly (move through the air),v/vn
423,go,v
427,come across,v
433,roll,n
435,slip,v/vn
43C,boat,n
440,cart / carriage,n
444,road,n
446,ship,n
447,street,n
448,train,n
44C,young,n
44D,old,n
44E,new,n
44F,old,n
456,rhythm,n
457,time,n
463,start,v/vn
467,stop,v/vn
46D,ever (at any time),adv
46F,time,n
470,past,n
471,the present,n
472,future,n
474,still,n
475,yesterday,adv
477,tomorrow,adv
479,in the near past,adv
47A,now / at this time,adv
47B,in the near future,adv
47C,in the far future,adv
47E,on time,adv/adj
484,order,n
489,spring,n
48A,summer,n
48B,fall,n
48C,winter,n
48E,year,n
48F,month,n
490,week,n
491,day,n
493,day,n
494,night,n
495,morning,n
49A,middle of the night,n
49B,hour,n
49C,minute,n
49D,second,n
4A1,air,n
4A4,brass,n
4A6,chalk,n
4A7,chemical,n
4A9,cloth,n
4AA,coal,n
4AB,copper,n
4AC,earth,n
4AD,dust,n
4B1,glass,n
4B2,gold,n
4B3,ice,n
4B4,ink,n
4B5,iron,n
4B8,lead (the metal),n
4B9,leather,n
4BB,metal,n
4C0,oil,n
4C3,paint,n
4C4,paper,n
4C9,stone,n
4CB,salt,n
4CC,sand,n
4CD,silk,n
4CE,silver (the metal),n
4CF,soap,n
4D1,steam,n
4D2,steel,n
4D5,tin (the metal),n
4D6,water,n
4D7,wax,n
4D8,wood (the substance),n
4D9,wool,n
4DB,bitter,adj
4DC,bread,n
4DD,butter,n
4DE,cheese,n
4E0,taste,n
4E1,grain-powder,n
4E2,food,n
4E4,milk,n
4EA,soup,n
4ED,sugar,n
4EE,sweet,adj
4F0,wine,n
4F1,arch,n
4F4,branch,n
4F6,card,n
4F7,circle,n
4FE,curve,n
502,drop (of liquid),n
50B,hole,n
50C,jelly,n
50F,line,n
510,liquid,n
513,mark,n
514,material / substance,n
518,parallel,adj
519,paste,n
51E,powder,n
520,ray,n
528,smoke,n
529,solid,n
52D,square,n
534,wave,n
538,level / even (on the same level),adj
539,smooth,adj
53B,straight / not bent,adj
53C,bent,adj
53E,clean,adj
540,open / not shut,adj
541,shut,adj
542,wet,adj
543,dry,adj
54A,elastic,n
54B,strong,adj
54C,delicate,adj
54D,weight,n
54E,of much weight,adj
54F,light / of little weight,adj
550,solid,n
551,hollow,adj
553,loose,n
554,tight,adj
556,thick,adj
55B,blow,n
560,burn,v/vn
561,burst,v/vn
564,crush,n
56C,fold,v/vn
578,pull,n
579,push,n
57D,shake,v/vn
589,wash,v/vn
58C,acid,n
593,fire,n
594,force,n
598,power,n
59B,a blow of force,n
59D,mist,n
5A3,see,v
5A4,light,n
5A5,colour,n
5A6,shade,n
5A9,bright,adj
5AA,dark,n
5AB,black,adj
5AC,grey,adj
5AD,white,adj
5AE,red,adj
5AF,orange,n
5B0,yellow,adj
5B1,green,adj
5B2,blue,adj
5B4,brown,adj
5B5,beautiful,adj
5BD,sound,n
5BF,quiet / soft,n
5C0,loud,n
5C1,hear,v
5C2,music,n
5C4,whistle,v/vn
5C8,of little heat,adj
5C9,warm,adj
5CA,of very much heat,adj
5CB,cook,v/vn
5CC,cook,n
5D7,attack,v/vn
5D8,good,adj
5D9,bad,adj
5DB,kind / sort,n
5DD,probable,n
5E4,simple,adj
5E5,complex,adj
5E7,make,v
5EA,danger,n
5EC,hard,adj
5ED,true,adj
5F1,damage,v/vn
605,special,adj
608,automatic,adj
610,detail,n
611,equal,adj
617,fertile,adj
618,harmony,n
61A,match,n
62A,right (a right to do/be...),n
62F,system,n
633,attempt,v/vn
63A,science,n
63E,support,v/vn
