index,name,rule_count
30.1.2,Pre-Proto-Bantu to Proto-Manenguba,8
30.2,Proto-Potou-Akanic-Bantu to Proto-Potou-Akanic,7
30.2.1,Proto-Potou-Akanic to Proto-Akanic,8
30.2.1.1,Proto-Akanic to Akan,14
30.3,Volta-Congo,0
30.3.1,Volta-Niger,0
30.3.1.1,Gbe,0
30.3.1.1.1,Proto-Gbe to Ajá,8
30.3.1.1.2,Proto-Ajá to Hwe,1
30.3.1.1.3,Proto-Gbe to Proto-Fon,5
30.3.1.1.4,Proto-Gbe to Proto-Gen,8
30.3.1.1.5,Proto-Gbe to Proto-Phla-Pherá,2
30.3.1.1.6,Proto-Phla-Pherá to Alada,3
30.3.1.1.7,Proto-Gbe to Proto-Vhe,6
30.3.1.1.8,Proto-Vhe to Adángbe,4
30.3.1.1.9,Proto-Vhe to Avéno,4
30.3.1.1.10,Proto-Vhe to Awalan,5
30.3.1.1.11,Proto-Vhe to Kpándo,5
30.3.1.1.12,Proto-Vhe to Pecı́,3
30.3.1.1.13,Proto-Vhe to TÉ̣wun,3
30.3.1.1.14,Proto-Vhe to Wacı́,3
31,Nyulnyulan,0
31.1,Proto-Nyulnyulan to Bardi,17
32,Oto-Manguean,0
32.1,Chatino,0
32.1.1,Proto-Chatino to Papabuco Chatino,29
32.1.2,Proto-Chatino to Tataltepec Chatino,17
32.1.3,Proto-Chatino to Yaitepec Chatino,28
32.1.4,Proto-Chatino to Zenzontepec Chatino,3
32.2,Proto-Oto-Manguean to Tlapanec,12
33,Penutian,0
33.1,Utian,0
33.1.1,Proto-Utian to Proto-Costanoan (Ohlone),14
33.1.1.1,Proto-Costanoan to Chochenyo,6
33.1.1.2,Proto-Utian to Proto-Miwok,3
33.1.1.2.1,Proto-Miwok to Proto-Western Miwok,3
33.1.1.3,Proto-Costanoan to Mutsun,7
33.1.1.4,Proto-Costanoan to Rumsen,11
33.2,Wintun,0
33.2.1,Proto-Wintuan to Nomlaki,3
33.2.2,Proto-Wintuan to Patwin,3
33.2.3,Proto-Wintuan to South Patwin,5
33.2.4,Proto-Wintuan to Wintu,2
33.3,Yokutsan,0
33.3.1,Proto-Yokuts to General Yokuts,3
33.3.1.1,General Yokuts to Buena Vista Yokuts,3
33.3.1.2,Buena Vista Yokuts to Hometwoli,1
33.3.1.3,Buena Vista Yokuts to Tulamni,2
33.3.2,Buena Vista Yokuts to Proto-Nim-Yokuts,2
33.3.2.1,Proto-Nim-Yokuts to Proto-Tule-Kaweah,2
33.3.2.1.1,Proto-Tule-Kaweah to Wikchamni,1
33.3.2.1.2,Proto-Tule-Kaweah to Yawdanchi,0
33.3.2.2,Proto-Nim-Yokuts to Northern Yokuts,2
33.3.2.2.1,Northern Yokuts to Gashowu,1
33.3.2.2.2,Northern Yokuts to Kings Valley Yokuts,1
33.3.2.2.3,Northern Yokuts to Valley Yokuts,0
33.3.2.2.4,Valley Yokuts to Chukchansi,2
33.3.2.2.5,Valley Yokuts to Tachi,1
33.3.2.2.6,Valley Yokuts to Yawelmani,2
33.3.3,Proto-Yokuts to Palewyami,10
34,Quechumaran,0
34.1,Proto-Quechumaran to Ayachuco,10
34.2,Proto-Quechumaran to Bolivia,16
34.3,Proto-Quechumaran to Cuzco,22
34.4,Proto-Quechumaran to Huarás,13
34.5,Proto-Quechumaran to Putamayo,12
34.6,Proto-Quechumaran to Quito,21
34.7,Proto-Quechumaran to Riobamba,25
34.8,Proto-Quechumaran to Santiago,18
34.9,Proto-Quechumaran to Tena,20
35,Salishan,0
35.1,Central Salish,0
35.1.1,Proto-Central Salish to Comox,16
35.1.2,Proto-Central Salish to Chilliwack Halkomelem,20
35.1.3,Proto-Central Salish to Cowichan Halkomelem,13
35.1.4,Proto-Central Salish to Musqueam Halkomelem,15
35.1.5,Proto-Central Salish to Klallam,19
35.1.6,Proto-Central Salish to Lushootseed,16
35.1.7,Proto-Central Salish to Nooksack,22
35.1.8,Proto-Central Salish to Lummi Northern Straits,22
35.1.9,Proto-Central Salish to Saanich Northern Straits,20
35.1.10,Proto-Central Salish to Songish Northern Straits,20
35.1.11,Proto-Central Salish to Sooke Northern Straits,19
35.1.12,Proto-Central Salish to Pentlatch,11
35.1.13,Proto-Central Salish to Sechelt,13
35.1.14,Proto-Central Salish to Sqamish,12
35.1.15,Proto-Central Salish to Twana,15
35.2,Interior Salish,0
35.2.1,Proto-Interior Salish to Columbian and Okanagan Nasal-to-Vowel Shifts,1
35.2.2,Proto-Interior Salish to Thompson Nasal-to-Vowel Shifts,2
35.3,Shuswap to Eastern Shuswap Nasal-to-Vowel Shifts,4
35.4,Shuswap to Spokane-Kalispel Shuswap Nasal-to-Vowel Shifts,2
36,Sino-Tibetan,0
36.1,Proto-Sino-Tibetan to Middle Chinese,13
36.1.1,Late Middle Chinese to Old Mandarin,41
36.1.1.1,Old Mandarin to Modern Pekingese,14
36.2,Sin Sukchu to Guānhuà,86
36.3,Tibeto-Burman,0
36.3.1,Qiangic,0
36.3.1.1,Proto-Naish to Laze,19
36.3.1.2,Proto-Naish to Mosuo (Na),17
36.3.1.3,Proto-Naish to Naxi,23
36.3.2,rGyalrongic,0
36.3.2.1,Proto-rGyalrongic to bTshan La,26
36.3.2.1.1,Proto-rGyalrongic to Chos Kia,37
36.3.2.1.2,Proto-rGyalrongic to Hanniu,9
36.3.2.2,Proto-rGyalrongic to Japhug,8
36.3.2.2.1,Proto-rGyalrongic to Kham To,24
36.3.2.2.2,Proto-rGyalrongic to lCog Rtse,15
36.3.2.2.3,Proto-rGyalrongic to Pati,6
36.3.2.2.4,Proto-rGyalrongic to Suo Mo,22
36.3.2.2.5,Proto-rGyalrongic to Trung,9
36.3.2.2.6,Proto-rGyalrongic to Tsa Ku Nao,26
36.3.2.2.7,Proto-rGyalrongic to Tzu Ta,28
36.3.2.2.8,Proto-rGyalrongic to Wassu,19
36.3.3,Tibetic,0
36.3.3.1,Old Tibetan to Amdo dialects,9
37,Siouan-Iroquoian,0
37.1,Proto-Siouan-Iroquoian to Proto-Iroquoian,20
37.1.1,Proto-Iroquoian to Cherokee,25
37.1.2,Proto-Iroquoian to Proto-Northern Iroquoian,11
37.1.2.1,Proto-Northern Iroquoian to Cayuga,30
37.1.2.1.1,Cayuga to Upper Cayuga,4
37.1.2.1.2,Cayuga to Lower Cayuga,6
37.1.2.2,Proto-Northern Iroquoian to Huron,25
37.1.2.2.1,Huron to Wyandot,20
37.1.2.3,Proto-Northern Iroquoian to Onondaga,33
37.1.2.4,Proto-Northern Iroquoian to Proto-Mohawk-Oneida,13
37.1.2.4.1,Proto-Mohawk-Oneida to Mohawk,22
37.1.2.4.2,Proto-Mohawk-Oneida to Oneida,31
37.1.2.5,Proto-Northern Iroquoian to Seneca,45
37.1.2.6,Proto-Northern Iroquoian to Tuscarora,29
37.1.2.6.1,Tuscarora to Western Tuscarora,4
37.1.2.6.2,Tuscarora to Eastern Tuscarora,2
37.2,Proto-Siouan-Iroquoian to Proto-Siouan,7
37.2.1,Proto-Siouan to Catawba,8
37.2.2,Proto-Siouan to Dakota,16
37.2.2.1,Dakota to Santee Dakota,3
37.2.2.2,Dakota to Teton Dakota,1
37.2.2.3,Dakota to Yankton Dakota,1
37.2.3,Proto-Siouan to Mandan,17
37.2.4,Proto-Siouan to Proto-Čiwere-Winnebago,11
37.2.4.1,Proto-Čiwere-Winnebago to Čiwere,19
37.2.4.2,Proto-Čiwere-Winnebago to Winnebago,13
37.2.5,Proto-Siouan to Proto-Crow-Hidatsa,6
37.2.5.1,Proto-Crow-Hidatsa to Crow,8
37.2.5.2,Proto-Crow-Hidatsa to Hidatsa,11
37.2.6,Proto-Siouan to Proto-Dhegiha,12
37.2.6.1,Proto-Dhegiha to Kansa,12
37.2.6.2,Proto-Dhegiha to Omaha-Ponca,12
37.2.6.3,Proto-Dhegiha to Osage,18
37.2.6.4,Proto-Dhegiha to Quapaw,9
37.2.7,Proto-Siouan to Proto-Ohio-Valley,4
37.2.7.1,Proto-Ohio-Valley to Biloxi,13
37.2.7.2,Proto-Ohio-Valley to Ofo,15
37.2.7.3,Proto-Ohio-Valley to Tutelo,8
38,Tai-Kadai,0
38.1,Kam-Tai,0
38.1.1,Tai,0
38.1.1.1,Proto-Tai to Ahom,15
38.1.1.2,Proto-Tai to Saek,12
38.1.1.3,Proto-Tai to Central Tai,21
38.1.1.3.1,Central Tai to Lungchow,35
38.1.1.3.2,Central Tai to Nung,4
38.1.1.3.3,Central Tai to Tay,7
38.1.1.3.4,Central Tai to Tho,4
38.1.1.3.5,Central Tai to T’ien-Pao,8
38.1.1.4,Proto-Tai to North Tai,28
38.1.1.4.1,North Tai to Dioi,6
38.1.1.4.2,North Tai to Po-Ai,42
38.1.1.4.3,North Tai to Wu-Ming,5
38.1.1.5,Proto-Tai to Southwest Tai,20
38.1.1.5.1,Southwest Tai to Lao,7
38.1.1.5.2,Southwest Tai to Lü,14
38.1.1.5.3,Southwest Tai to Shan,10
38.1.1.5.4,Southwest Tai to Siamese,24
38.1.1.5.5,Southwest Tai to Black Tai,5
38.1.1.5.6,Southwest Tai to White Tai,9
39,Tanoan,0
39.1,Proto-Tanoan to Jimez,8
39.2,Proto-Tanoan to Kiowa,4
39.3,Proto-Tanoan to Taos,6
39.4,Proto-Tanoan to Tewa,4
40,Totozoquean,0
40.1,Proto-Totozoquean to Proto-Mixe-Zoquean,6
40.2,Proto-Totozoquean to Proto-Totonacan,7
41,Trans-New Guinea,0
41.1,Proto-Trans New Guinea to ApalÉ¨,4
41.2,Proto-Trans New Guinea to Asmat,5
41.3,Proto-Trans New Guinea to Binandere,6
41.4,Proto-Trans New Guinea to Kaeti,4
41.5,Kainantu-Goroka,0
41.5.1,Gorokan,0
41.5.1.1,Proto-Gorokan to Asaro,3
41.5.1.2,Proto-Gorokan to North Fore,4
41.5.1.3,Proto-Gorokan to South Fore,5
41.5.1.4,Proto-Gorokan to Gende,1
41.5.1.5,Proto-Gorokan to Gimi,2
41.5.1.6,Proto-Gorokan to Hua,1
41.5.1.7,Proto-Gorokan to Kamano,1
41.5.1.8,Proto-Gorokan to Move,4
41.5.1.9,Proto-Gorokan to Siane,3
41.5.1.10,Proto-Gorokan to Yagaria,1
41.5.2,Kainantu,0
41.5.2.1,Proto-Kainantu to Auyana,5
41.5.2.2,Proto-Kainantu to Awa,5
41.5.2.3,Proto-Kainantu to Gadsup,6
41.5.2.4,Proto-Kainantu to Usarufa,5
41.6,Proto-Trans New Guinea to Kalam,2
41.7,Proto-Trans New Guinea to Kâte,5
41.8,Proto-Trans New Guinea to Kiwai,4
41.9,Proto-Trans New Guinea to Selepet,6
41.10,Proto-Trans New Guinea to Telefol,3
41.11,Proto-Trans New Guinea to Middle Wahgi,3
42,Uralic,0
42.1,Proto-Uralic to Pre-Finnic,10
42.1.1,Pre-Finnic to Proto-Finnic,50
42.1.1.1,Proto-Finnic to Proto-Finnish,24
42.1.1.1.1,Proto-Finnish to Standard Finnish,41
42.1.1.1.2,Standard Finnish to Modern Standard Finnish,4
42.1.2,Proto-Finnic to Livonian,36
43,Uto-Aztecan,0
43.1,Proto-Uto-Aztecan to Comanche,5
43.2,Proto-Uto-Aztecan to Hopi,7
43.3,Proto-Uto-Aztecan to Luiseño,12
43.4,Proto-Uto-Aztecan to Nahuatl,9
43.5,Numic,0
43.5.1,Mono-Kawaiisu,0
43.5.1.1,Proto-Mono-Kawaiisu to Kawaiisu,10
43.5.1.2,Proto-Mono-Kawaiisu to Mono,7
43.6,Proto-Uto-Aztecan to Tohono O’odham,16
44,Vasconic,0
44.1,Proto-Vasconic to Aquitanian,12
44.2,Proto-Basque to Basque,121
45,Yuman-Cochimı́,0
45.1,Pai,0
45.1.1,Proto-Pai to Chapai,11
45.1.2,Proto-Pai to Paipai,8
45.1.3,Proto-Pai to Tipai,8
46,Vowel Shifts,0
46.1,7-to-5 Vowel Merger (Bantu),2
46.2,California Vowel Shift (English),8
46.3,Belgian and Netherlandish Dutch Monophthongization,1
46.4,Polder Dutch Vowel Shift,2
46.5,Old English-to-Scots Vowel Shifts,17
46.6,Great Ngamo Tone Shift,0
46.7,Great Vowel Shift (English),8
46.8,Greek Vowel Shift,7
46.9,Kikuyu Tone Shift,0
46.10,Late Proto-Finnic to Savonian Vowel Shift,7
46.11,Middle Chinese to Cantonese Vowel Shift (“The Inner-Outer Flip”),15
46.12,Northern Cities Vowel Shift (English),4
46.13,Old Norse to Faroese Vowel Shift,14
46.14,Pre-Slavic Vowel Changes,13
46.15,Proto-Japanese to Old Japanese Vowel Shift,4
46.16,Development of Proto-Lolo-Burmese -i(C)# and -u(C)# to Lahu,2
46.17,Proto-Maidun to Nisenian Vowel Shift,1
46.18,South African Chain Shift (English),1
46.19,Southern [United States] Shift (English),12
47,Most-Wanted Sound Changes,0
47.1,List 1: Simple Consonant Changes,17
47.2,List 2: Conditional or complex consonant changes,7
47.3,List 3: Vowels,2
47.4,List 4: Other,0
