index,name,rule_count
10.2.4,Proto-Malayo-Polynesian to Proto-Malayo-Javanic,4
10.2.4.1,Proto-Malayo-Javanic to Javanese,11
10.2.4.2,Proto-Malayo-Polynesian to Madurese,13
10.2.4.3,Proto-Malayo-Javanic to Sundanese,6
10.2.5,Proto-Malayo-Polynesian to Palauan,33
10.2.6,Proto-Malayo-Polynesian to Proto-North Sarawak,16
10.2.6.1,Proto-North Sarawak to Kiput,39
10.2.6.2,Proto-North Sarawak to Proto-Kenyah,11
10.2.6.2.1,Proto-Kenyah to Òma Lóngh,30
10.2.6.3,Proto-Malayic to Minangkabau,11
10.3,Proto-Austronesian to Proto-Oceanic,6
10.3.1,Proto-Oceanic to Hawai’ian,4
10.3.2,Proto-Oceanic to Hiw,23
10.3.3,Proto-Oceanic to Lemerig,21
10.3.4,Proto-Oceanic to Mwotlap,21
10.3.5,Proto-Oceanic to Proto-New Caledonia,7
10.3.5.1,Proto-New Caledonia to Caaàc,12
10.3.5.2,Proto-New Caledonia to Jawé,6
10.3.5.3,Proto-New Caledonia to Nemi-Pije-Fwai,11
10.3.5.4,Proto-New Caledonia to Proto-Northern,4
10.3.5.4.1,Proto-Northern to Nixumwak-Nêlêmwa,20
10.3.5.5,Proto-New Caledonia to Nyelâyu,21
10.3.5.6,Proto-New Caledonia to Pwaamei,9
10.3.5.7,Proto-New Caledonia to Pwapwâ,9
10.3.5.8,Proto-New Caledonia to Proto-Yunaga,15
10.3.5.8.1,Proto-Yunaga to Yunaga 1,4
10.3.5.8.2,Proto-Yunaga to Yunaga 2,2
10.3.6,Proto-Oceanic to Proto-Reefs/Santa Cruz,5
10.3.6.1,Proto-Reefs/Santa Cruz to Äiwoo,4
10.3.6.2,Proto-Reefs/Santa Cruz to Nagu,5
10.3.6.3,Proto-Reefs/Santa Cruz to Natügu,7
10.3.7,Proto-Oceanic to Shark Bay,19
10.3.8,Proto-Oceanic to Tolomako,12
10.3.9,Proto-Oceanic to Proto-Utupua,3
10.3.9.1,Proto-Utupua to Asuboa,10
10.3.9.2,Proto-Utupua to Nebao,9
10.3.9.3,Proto-Utupua to Tanibili,11
10.3.10,Proto-Oceanic to Proto-Vanikoro,5
10.3.10.1,Proto-Vanikoro to Buma,7
