section_index,rule_id,error_token,rule
17.3.4,Kharpert-Armenian-bʱ-dʱ-ɡ́ʱ-ɡʱ-ɡʷʱ,́,"bʱ dʱ ɡ́ʱ ɡʱ ɡʷʱ > {w,v} d z ɡ ʒ | ^ @ Rule 1, Line 1"
17.3.5,Sebastia-Armenian-ɡ́,́,"ɡ́ > ts | ^ @ Rule 1, Line 1"
17.3.5,Sebastia-Armenian-bʱ-dʱ-ɡ́ʱ-ɡʱ-ɡʷʱ,́,"bʱ dʱ ɡ́ʱ ɡʱ ɡʷʱ > {w,v} d z ɡ ʒ // _# | ^ @ Rule 1, Line 1"
17.3.6,Southeast-Armenian-ɡ́,́,"ɡ́ > ts | ^ @ Rule 1, Line 1"
17.3.6,Southeast-Armenian-bʱ-ɡ́ʱ-ɡʷʱ,́,"bʱ ɡ́ʱ ɡʷʱ > b j ɡ / #_ | ^ @ Rule 1, Line 1"
17.3.6,Southeast-Armenian-bʱ-dʱ-ɡ́ʱ-ɡʱ-ɡʷʱ,́,"bʱ dʱ ɡ́ʱ ɡʱ {ɡʱ,ɡʷʱ} > p t j k / #_ | ^ @ Rule 1, Line 1"
17.3.6,Southeast-Armenian-bʱ-dʱ-ɡ́ʱ-ɡʱ-ɡʷʱ_2,́,"bʱ dʱ ɡ́ʱ ɡʱ ɡʷʱ > {w,v} d z ɡ ʒ | ^ @ Rule 1, Line 1"
17.3.7,Southwest-Armenian-ɡ́,́,"ɡ́ > ts | ^ @ Rule 1, Line 1"
17.3.7,Southwest-Armenian-bʱ-ɡ́ʱ-ɡʷʱ,́,"bʱ ɡ́ʱ ɡʷʱ > b j ɡ / #_ | ^ @ Rule 1, Line 1"
17.3.7,Southwest-Armenian-bʱ-dʱ-ɡ́ʱ-ɡʱ-ɡʷʱ,́,"bʱ dʱ ɡ́ʱ ɡʱ ɡʷʱ > {w,v} d z ɡ ʒ | ^ @ Rule 1, Line 1"
17.4.1,Avestan_2-bʱ-dʱ-ɡ́ʱ,́,"bʱ dʱ ɡ́ʱ > b d z | ^ @ Rule 1, Line 1"
17.4.1,Avestan_2-ḱ-ɡ́,́,"kʲ ɡ́ > s z | ^ @ Rule 1, Line 1"
17.5,Proto-Celtic-—-C1C2,₂,"C=1 C=2 > x2 / if C₂ was a plosive or s | ^ @ Rule 1, Line 1"
17.5.2,Middle-Welsh-mp-nt-ŋk,̊,"mp nt ŋk > m̥ n̥ ŋ̊ | ^ @ Rule 1, Line 1"
17.6,Dacian-bʱ-dʱ-ɡ́ʱ-ɡʱ-ɡʷʱ,́,"bʱ dʱ ɡ́ʱ ɡʱ ɡʷʱ > b d ɡ́ ɡ ɡʷ | ^ @ Rule 1, Line 1"
17.6,Dacian-ḱ-ɡ́,́,"kʲ ɡ́ > ts dz | ^ @ Rule 1, Line 1"
17.9,Hittite_2-ḱ-ɡ́-ɡ́ʱ,́,"kʲ ɡ́ ɡ́ʱ > k ɡ ɡʱ | ^ @ Rule 1, Line 1"
17.10,Proto-Indo-Iranian-Bʱ1P2,₁,"V:[+back]ʱ₁P=2 > B=1 V:[+back]ʱ₂ | ^ @ Rule 1, Line 1"
17.10,"Proto-Indo-Iranian-e,o,o2,N̊",₂,"{e,o,o₂,N̊} > a | ^ @ Rule 1, Line 1"
17.10.1,Proto-Indo-Aryan-R̊H,̊,"R̊[-place] > {u,i}[+son,-syll] / _V | ^ @ Rule 1, Line 1"
17.10.1,Proto-Indo-Aryan-R̊H_2,̊,"R̊[-place] > {u,i}:[+long][+son,-syll] / _C | ^ @ Rule 1, Line 1"
17.10.1,Proto-Indo-Aryan-t-dʱ-n,̣,"t {d,dʱ} n > ʈ {ɖ,ɖʱ} ɳ / C̣_ // _r | ^ @ Rule 1, Line 1"
17.10.1,Proto-Indo-Aryan-s-t-dʱ-n,̣,"s t {d,dʱ} n > ʂ ʈ {ɖ,ɖʱ} ɳ / _C̣ | ^ @ Rule 1, Line 1"
17.11.1,Polish-ŕ,ŕ,"ŕ > ʐ // _C[+voice] | ^ @ Rule 1, Line 1"
17.11.1,Polish-ɕtɕ,͜,"ɕtɕ > js / _{t͜s,s} | ^ @ Rule 1, Line 1"
17.11.1,Polish-r̝̊-r̝,̊,"r̝̊ r̝ > ʂ ʐ | ^ @ Rule 1, Line 1"
17.11.1,Polish-dz-ts,͜,"dz ts > d͜z t͜s | ^ @ Rule 1, Line 1"
17.11.1,Polish-rʲ,͜,"rʲ > r / _{s,t͜s,l,w,n,ɲ} | ^ @ Rule 1, Line 1"
17.12.1.1,Latin-ḱ-ɡ́,́,"kʲ ɡ́ > k ɡ | ^ @ Rule 1, Line 1"
17.12.1.1.2,Catalan-b,̈,"b > v / V̈$_j | ^ @ Rule 1, Line 1"
17.12.1.1.2,Catalan-C,₂,"C > ∅ / C=1 _C=2 // C₂ = L | ^ @ Rule 1, Line 1"
17.12.1.1.3,French-C,₂,"C > ∅ / C=1 _C=2 // C₂ = {r,l} | ^ @ Rule 1, Line 1"
17.12.1.1.5,Portuguese-C,₂,"C > ∅ / C=1 _C=2 // C₂ = L | ^ @ Rule 1, Line 1"
17.12.1.1.5,Portuguese-k_6,₂,"k > ɡ / V=1 _V=2 // V₂ = ɔ | ^ @ Rule 1, Line 1"
17.12.1.1.10,Spanish-/dɾ/-ðɾ,ð,"dɾ [ðɾ] > ɾ / V_V | ^ @ Rule 1, Line 1"
17.12.1.1.10,Spanish-/ʝ/-ʝ~dʒ,ʝ,"ʝ {[ʝ,dʒ]} > [ʒ | ^ @ Rule 1, Line 1"
17.12.1.1.10,Spanish-/ʝ/-ʝ~dʒ,ʝ,"ʝ {[ʝ,dʒ]} > dʒ] | ^ @ Rule 1, Line 1"
17.12.2,Proto-Sibellian-ḱ-ɡ́-kʷ-ɡʷ,́,"kʲ ɡ́ kʷ ɡʷ > k ɡ p b | ^ @ Rule 1, Line 1"
