abbreviation,description
adj,adjective
aux,auxiliary
av,adverb
cj,conjunction
ij,interjection
n,noun
num,numeral
pfx,prefix
pn,pronoun
pr,preposition
pres,present tense
rel,relative
sfx,suffix
v,verb
vn,verbal noun
vi,intransitive verb
vt,transitive verb
