,idx,word,topic,topic_id,adj,aux,adv,conj,int,n,num,pfx,pron,prep,pres,rel,sfx,v,vn,vi,vt
66,05B,friend,people,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
67,061,society,groupings of people,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
68,062,committee,groupings of people,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69,066,nation,groupings of people,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70,067,public,groupings of people,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
71,06C,arm,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,06D,back,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
73,06F,blood,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
74,070,body,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
75,071,bone,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76,072,brain,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77,076,chest,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
78,077,chin,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
79,078,ear,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80,079,egg,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
81,07A,eye,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
82,07B,face,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
83,07C,feather,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84,07F,finger,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
85,081,foot,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
86,084,hair,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
87,085,hair,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88,086,hand,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
89,087,head,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90,088,heart,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
91,08B,horn (bone-like growth from animal's head),body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
